	c_office_id	c_office_chn	place	office	title
20004	82478	戶部廣東司行走	廣東	東司#戶部	行走
22766	85241	太常寺博士		太常寺	博士
22330	84805	尚寶司少卿		尚寶司	卿#少卿
22711	85186	四議館監督			監督
22974	85449	通禮館纂修官			纂修官
24828	87304	掌儀司委署主事		掌儀司	主事#署主事#委署主事
25479	87955	左春坊左贊善		左春坊	左贊善
20701	83175	九品筆帖式			筆帖式
17669	80143	辦事大臣兼理事務			
23536	86011	鄉試外簾官			
22156	84631	入八分奉恩輔國公			
18998	81472	房事務			
21853	84328	內務府武備院郎中		武備院#內務府	郎中
24989	87465	知府			知府
20618	83092	接辦翻譯鄉試提調			提調
23958	86433	修明史副總裁			副總裁#總裁
23450	85925	西伯甲大臣			大臣
21690	84165	內大臣上行走			行走
22795	85270	太僕寺卿銜		太僕寺	
18227	80701	城副都統			副都統#都統
23305	85780	武會試副考官			
22497	84972	侍衛正班領			
23297	85772	武殿試收掌官			收掌官
17705	80179	幫辦糧台			
22835	85310	泰陵員外郎		泰陵	外郎#員外郎
19710	82184	國史館滿總纂修官		國史館	纂修官
20864	83339	考試八旗武童監試官			
22136	84611	求治局文案			文案
18085	80559	倉場委用			
23082	85557	屯田水利都司			都司
23998	86473	學教諭			
23438	85913	武職值班大臣			大臣
21605	84080	免補千總以守備用			
17972	80446	兵刑工科給事中		工科	給事中
23879	86354	刑部陜西司行走		刑部#西司	行走
18324	80798	船政委員			委員
21307	83782	吏部堂主事		吏部	主事#堂主事
22868	85343	提標前營把總			把總
19327	81801	公中佐領			佐領
18556	81030	都督同知			同知
21665	84140	奈曼旗扎薩克多羅達爾郡王			
24568	87044	玉牒館督催總裁		玉牒館	總裁
20373	82847	稽查會同四譯館大臣		會同四譯館#四譯館	大臣
22012	84487	前朝行走			行走
23430	85905	武英殿總辦官			
21558	84033	滿洲鑲白旗佐領			佐領
22451	84926	使臣			
22343	84818	尚書房行走			行走
21202	83677	禮部副理事官		禮部	理事官#副理事官
17820	80294	標營千總			千總
25198	87674	撰文處行走			行走
18855	81329	二等侍衛班長			班長
20868	83343	考試拔貢閱卷大臣			大臣
23562	86037	鑲白旗漢軍協領			協領
19963	82437	後部巡檢			
19655	82129	管宴大臣			大臣
