c_ot_adm_id	c_ot_adm_chinm	type	c_ot_adm_engnm	c_ot_adm_desc	c_ot_adm_start	c_ot_adm_end	part1	type1	part2	type2	Unnamed: 11	Unnamed: 12	length
336	制敕房	o											3
303	弘文館	o											3
301	司獄司	o											3
364	左護衛	o											3
255	廣西道	o											3
268	監軍道	o											3
266	司輿司	o											3
265	織染局	o											3
264	神機營	o											3
263	審理所	o											3
262	紀善所	o											3
261	稅課司	o											3
260	鴻臚寺	o											3
259	僧綱司	o											3
258	鈔紙局	o											3
257	職方部	o											3
256	春宮門	o											3
254	雜造局	o											3
300	顏料局	o											3
253	遞運所	o											3
252	御藥房	o											3
251	理問所	o											3
250	鹽馬司	o											3
249	尚衣監	o											3
248	司禮監	o											3
247	儀鸞司	o											3
246	法酒庫	o											3
245	福建道	o											3
244	寶源局	o											3
243	道紀司	o											3
241	左屯衛	o											3
270	大通關	o											3
272	都官部	o											3
299	山東道	o											3
294	司醞司	o											3
293	承運庫	o											3
292	照磨所	o											3
291	司饎司	o											3
290	斷事司	o											3
288	會同館	o											3
287	軍儲倉	o											3
286	司寶司	o											3
285	都水司	o											3
283	司牧局	o											3
282	行用庫	o											3
281	林衡署	o											3
280	典簿廳	o											3
279	謹身殿	o											3
278	大理寺	o											3
277	廣盈庫	o											3
275	司籍司	o											3
273	將軍衛	o											3
363	掌饌廳	o											3
306	甜食房	o											3
365	河南道	o											3
441	司務廳	o											3
454	起居館	o											3
453	交阯道	o											3
452	湖廣道	o											3
451	孳牧所	o											3
450	司賓署	o											3
449	五軍營	o											3
448	司綵司	o											3
447	御酒房	o											3
443	祠祭司	o											3
442	萬戶府	o											3
440	中極殿	o											3
456	軍器局	o											3
439	番經廠	o											3
436	鐵冶所	o											3
435	都稅司	o											3
434	協堂道	o											3
431	僧會司	o											3
430	雲南道	o											3
429	典籍廳	o											3
427	司言司	o											3
426	司馬部	o											3
455	清軍道	o											3
457	甲字庫	o											3
424	北平道	o											3
473	司製司	o											3
486	司飾司	o											3
484	司仗司	o											3
483	騎都尉	o											3
482	司設司	o											3
481	職方司	o											3
480	禮儀房	o											3
479	文淵閣	o											3
477	典乘局	o											3
475	良醫所	o											3
474	節慎庫	o											3
472	彈子房	o											3
458	司燈司	o											3
471	屯田部	o											3
470	皮作局	o											3
468	振武衛	o											3
467	司牧司	o											3
466	右護衛	o											3
465	司封部	o											3
464	都督府	o											3
463	安民廠	o											3
462	巡檢司	o											3
461	督糧道	o											3
460	司樂司	o											3
459	中書房	o											3
393	司記司	o											3
392	四夷館	o											3
391	建極殿	o											3
388	文書房	o											3
387	兵馬司	o											3
386	司膳司	o											3
384	廣惠庫	o											3
382	司牲司	o											3
381	山西道	o											3
380	良醞署	o											3
378	鹽法道	o											3
395	經歷司	o											3
377	常盈庫	o											3
